Retail Branding,Marketing Name,Device,Model
GSmart,Mika M3,Mika_M3,GSmart Mika M3
GSmart,Rey R3,Rey_R3,GSmart Rey R3
GSmart,Rio R1,Rio_R1,GSmart Rio R1
GSmart,Roma R2,Roma_R2,GSmart Roma R2
GSmart,SX1,bravo,GSmart SX1
GSmart,Saga_S3,Saga_S3,GSmart Saga S3
GSmart,Sierra S1,GSmart_Sierra_S1,GSmart Sierra S1
GSmart,Simba SX1,GBC_bravo,Simba SX1
GSmart,Simba SX1,bravo,Simba SX1
GSmart,T4,GSmart_T4,GSmart T4
GSmart,Tuku T2,Tuku_T2,GSmart Tuku T2
GTPL,Inspire 4.0,Inspire_4,Inspire_4
GTPL,Shockwave,Shockwave,Shockwave
GYRO,S6001,S6001,GYRO S6001
Galactic,ETAB_M7043G,ETAB_M7043G,ETAB_M7043G
Galactic,Galactic_Astro,Galactic_Astro,Galactic_Astro
Galapad,Galapad S6,GALAPAD_S6,GALAPAD_S6
Galax,F5,F5,F5
Galexia,GL9002,GL9002,GL9002
Garad,GARAD_fire,GARAD_fire,GARAD_fire
Garmin,,a10,Garmin-Asus A10
Garmin,Monterra,monterra,Monterra
Garmin,Nuvi 3595,scorpio,nuvi 3595
Garmin,Nuvifone,a50,Garmin-Asus A50
Garmin,Nuvifone,a50,Garminfone
Garmin,Nuvifone,a50,nuvifone A50
Garmin,Nuvifone,a50,nüvifone A50
Garmin,nuvi 3590,scorpio,nuvi 3590
Garmin,nuvi 3592,scorpio,nuvi 3592
Garmin,nuvi 3595,scorpio,nuvi 3595
Gasei S.A.,MGTABX,MGTABX,MGTABX
Gasei S.A.,Retailer Stores,SENSE901,SENSE901
Gasei S.A.,SENSE1003G,SENSE1003G,SENSE1003G
Gasei S.A.,SENSE701,SENSE701,SENSE701
Gasei S.A.,SENSE704G,SENSE704G,SENSE704G
Gateway,GWAT10_1,GWAT10_1,GWAT10_1
Gateway,GAKM10822,GAKM10822,GAKM10822
Gateway,GATA30812,GATA30812,GATA30812
Gateway,GATA31012,GATA31012,GATA31012
Gateway,GATM10822,GATM10822,GATM10822
Gateway,GATM11022,GATM11022,GATM11022
Gateway,GWAT8_1,GWAT8_1,GWAT8_1
Geanee,ADP-503G,ADP-503G,ADP-503G
Geanee,FXC-5A,FXC-5A,FXC-5A
Geanee,HT-001,HT-001,HT-001
Geanee,JT07-90,JT07-90,JT07-90
Geanee,JT10-90,JT10-90,JT10-90
Geant,GEANT T1,GEANT_T1,T1
Gear Mobile,Feel_1008S,Feel_1008S,1008S
Gear Mobile,Feel_7013N,Feel_7013N,Feel_7013N
Gear Mobile,Feel_8002N,Feel_8002N,8002N
Gear Mobile,GM10,GM10,GM10
Gear Mobile,GM30,GM30,GM30
Gear Mobile,GM7,GM7,GM7
Gear Mobile,Gear_PRO,Gear_PRO,Gear_PRO
Gear Mobile,Gear_PRO2,Gear_PRO2,Gear_PRO2
Gear Mobile,Space,Space,Space
Gear Mobile,Space_Pro,Space_Pro,Space_Pro
Geecoo,G1,G1,G1
Geecoo,G1_3g,G1_3g,G1_3g
Geecoo,G2,G2,G2
Geecoo,G3,G3,G3
Geecoo,G4,G4,G4
Gen2Wave,RP70A,RP70A,RP70A
General Dynamics,GD Tough Mobile,granite,GD Tough Mobile
General Dynamics,GD Tough mobile,granite,GD Tough Mobile
General Mobile,4G,gm4g_s_sprout,General Mobile 4G
General Mobile,4G,gm4gtkc_s_sprout,General Mobile 4G
General Mobile,4G Dual,gm4g_sprout,General Mobile 4G Dual
General Mobile,5,gm5_s_sprout,GM 5
General Mobile,Discovery Air,Discovery_Air,Discovery Air
General Mobile,Discovery II Mini,Discovery_II_Mini,Discovery II Mini
General Mobile,E-tab 4,mehmet,e-tab4
General Mobile,Etab5,Etab5,Etab5
General Mobile,G310,G310,G310
General Mobile,GM 20,G301,G301
General Mobile,GM 20 PRO,G501,G501
General Mobile,GM 20 Pro,G501,G501
General Mobile,GM 21,G310,G310
General Mobile,GM 21 Plus,G510,G510
General Mobile,GM 21 Pro,G700,G700
General Mobile,GM 22,G312,G312
General Mobile,GM 22 Plus,G512,G512
General Mobile,GM 22 Pro,G702,G702
General Mobile,GM 6 d,GM6_d_sprout,GM 6 d
General Mobile,GM 6 ds,G100,G100
General Mobile,GM 6 s,GM6_s_sprout,GM 6
General Mobile,GM 6 s,GM6_s_sprout,GM6
General Mobile,GM 8,GM8_sprout,GM 8
General Mobile,GM 8 d,GM8_d_sprout,GM 8 d
General Mobile,GM 9 Go,G008,G008
General Mobile,GM 9 Go,G008_d,G008
General Mobile,GM 9 Plus,GM9PLUS_s,GM 9 Plus
General Mobile,GM 9 Pro,GM9PRO_d_sprout,GM 9 Pro d
General Mobile,GM 9 Pro,GM9PRO_sprout,GM 9 Pro
General Mobile,GM10,G300,G300
General Mobile,GM5 Plus,gm5plus_s_sprout,GM 5 Plus
General Mobile,GM5 Plus Turkcell,gm5plustkc_s_sprout,GM 5 Plus
General Mobile,GM5 Plus d,gm5plus_sprout,GM 5 Plus d
General Mobile,GM8,GM8_d_sprout,GM 8 d
General Mobile,GM8,GM8_sprout,GM 8
General Mobile,GM8 Go,GM8_go,GM8 go
General Mobile,GM8 Go,GM8_go_sc,GM8 go
General Mobile,General Mobile 5 d,gm5_sprout,GM 5 d
General Mobile,e-tab 20,e-tab20,e-tab 20
General Mobile,e-tab 20,e-tab20_variant,e-tab 20
General Motors,Infotainment 3.7,gminfo37,gminfo37
General Motors,Infotainment 3.8,gminfo37,gminfo38
GeneralMobile,E-Tab10,blue_eye,E-Tab10
GeneralSupreme,Smart TV,longshan,AI PONT
General_luxe,Shahin_III,Shahin_III,SHAHIN III
Geniatech,ATV495MAX,enjoytv,ATV495MAX
Geniatech,Enjoy TV Quad-Core Box,ATV581,Enjoy TV Quad-Core Box
Geniatech,EnjoyTV,enjoytv,ATV495MAX
Geniatech,Enjoytv_hybrid,enjoytv_hybrid,ATV598MAX
Geniora,GEN1,GEN1,GEN1
Geo (GeoTechVision),GEO10,GEO10,GEO10X
Geoelectron,P9IV,P9IV_Handheld,P9IV
Geoelectron,P9IV_Handheld_EEA,P9IV_Handheld,P9IV
Gesellschaft für SMK mBH,Tough Mobile,granite,CP600
Geshem,GS1081T,GS1081T,GS1081T
Geshem,GS81TE,GS81TE,GS81TE
Get,Get Box,dciw387get,Get boX
Get,Get Box,dciw387get,Get box
Get,Get Box,dciw387get,Telia box
Getac,MX50,mx50,MX50
Getac,MX50,mx50,mx50
Getac,Z710,z710,Getac Z710
Getac,ZX10,zx10,ZX10
Getac,ZX70,zx70,ZX70
Getac,ZX70,zx70,zx70
Getac,ZX70G2,zx70g2,ZX70G2
Getnord,LYNX,LYNX,LYNX
Ghia,A7LED2,A7LED2,A7LED2
Ghia,A7_3G,A7_3G,A7_3G
Ghia,A7_SLIM,A7_SLIM,A7_SLIM
Ghia,A7_WF,A7_WF,A7_WF
Ghia,AXIS7_LED,AXIS7_LED,AXIS7_LED
Ghia,AXIS7_SLIM,AXIS7_SLIM,AXIS7_SLIM
Ghia,Beetle7,Beetle7,Beetle7
Ghia,G1,G1,G1
Ghia,GA7133,GA7133,GA7133
Ghia,GHIA,stanford,SMART TV
Ghia,GHIA_A1,GHIA_A1,GHIA_A1
Ghia,GHIA_A7,GHIA_A7,GHIA_A7
Ghia,GHIA_AXIS7,GHIA_AXIS7,GHIA_AXIS7
Ghia,GHIA_AXIS7P,GHIA_AXIS7P,GHIA_AXIS7P
Ghia,GHIA_L1,GHIA_L1,GHIA_L1
Ghia,GHIA_VECTOR_3G,GHIA_VECTOR_3G,GHIA_VECTOR_3G
Ghia,GPND133,GPND133,GPND133
Ghia,GS3G,GS3G,GS3G
Ghia,GTA7PLUS,GTA7PLUS,GTA7PLUS
Ghia,GTA7WF,GTA7WF,GTA7WF
Ghia,GTAB718,GTAB718,GTAB718
Ghia,GTABKIDS,GTABKIDS,GTABKIDS
Ghia,GTABPND,GTABPND,GTABPND
Ghia,GTKIDS7-100,GTKIDS7-100,GTKIDS7-100
Ghia,GTKIDS7A,GTKIDS7A,GTKIDS7A
Ghia,GTKIDS7B,GTKIDS7B,GTKIDS7B
Ghia,GTKIDS7R,GTKIDS7R,GTKIDS7R
Ghia,GTKIDS7R8,GTKIDS7R8,GTKIDS7R8
Ghia,GTKIDS7V,GTKIDS7V,GTKIDS7V
Ghia,GTKIDS7V8,GTKIDS7V8,GTKIDS7V8
Ghia,GTPND7,GTPND7,GTPND7
Ghia,GTTODD7,GTTODD7,GTTODD7
Ghia,GTVR10S,GTVR10S,GTVR10S
Ghia,GVP133,GVP133,GVP133
Ghia,I1,I1,I1
Ghia,TREO_TAB8G,TREO_TAB8G,TREO_TAB8G
Ghia,VECTOR10.1,VECTOR10_1,VECTOR10.1
Ghia,VECTOR10Plus,VECTOR10Plus,VECTOR10Plus
Ghia,VECTOR_SLIM,VECTOR_SLIM,VECTOR_SLIM
Ghia,VECTOR_SLIM2,VECTOR_SLIM2,VECTOR_SLIM2
Ghia,Vector_3G,Vector_3G,Vector_3G
Ghia,Venus7,Venus7,Venus7
Ghia,ZEUS 3G,N2,GHIA_ZEUS_3G
Gigabyte,,G1317S,GSmart G1317S
Gigabyte,9788,9788,9788
Gigabyte,Boston 4G,boston_4g,Boston 4G
Gigabyte,E9771,E9771,E9771
Gigabyte,EL-20-3710,TCV5,EL-20-3050
Gigabyte,EL-20-3710,TCV5,EL-20-3710
Gigabyte,GSmart G1310,G1310,GSmart G1310
Gigabyte,GSmart G1315,G1315,GSmart G1315
Gigabyte,GSmart G1317,G1317D,GSmart G1317D
Gigabyte,GSmart G1342,msm7627a,GSmart G1342
Gigabyte,GSmart G1345,msm7627_sku2,GSmart G1345
Gigabyte,GSmart G1355,G1355,GSmart G1355
Gigabyte,GSmart G1362,G1362,GSmart G1362
Gigabyte,GSmart GS202,GS202,GSmart GS202
Gigabyte,Hipstreet 9DTB7 / Lazer MY9308P,AMLMY9308P,9DTB7
Gigabyte,Hipstreet 9DTB7 / Lazer MY9308P,AMLMY9308P,MY9308P
Gigabyte,P102g,P102g,P102G
Gigabyte,PAPILIO G1,inhon77_cidals,INHON PAPILIO G1
Gigabyte,PROSCAN PLT1066 / MAG MAGPAD / TEAC TEACTAB / DOPO GS-1008,MID1005_K,GS-1008
Gigabyte,PROSCAN PLT1066 / MAG MAGPAD / TEAC TEACTAB / DOPO GS-1008,MID1005_K,MAGPAD
Gigabyte,PROSCAN PLT1066 / MAG MAGPAD / TEAC TEACTAB / DOPO GS-1008,MID1005_K,PLT1066
Gigabyte,PROSCAN PLT1066 / MAG MAGPAD / TEAC TEACTAB / DOPO GS-1008,MID1005_K,TEACTAB
Gigabyte,SAF3011,SAF3011,SAF3011
Gigabyte,SB506,SB506,SB506
Gigabyte,SB510 / IBT-102,SB510,SB510
Gigabyte,TB100,TB100,Gigabyte TB100
Gigabyte,TB100,TB100,TB100
Gigabyte,TECNO P3S,P3S,TECNO P3S
Gigabyte,TM105,TM105,TM105
Gigabyte,TM105A,TM105A,Aero1021/P1021HCBA4C1VXX
Gigabyte,TM105A,TM105A,Glacier
Gigabyte,TM105A,TM105A,Qrypton1010
Gigabyte,TM105A,TM105A,TM105A
Gigabyte,TM75A,TM75A,GSmart7Tab
Gigabyte,TM75A,TM75A,Qrypton7
Gigabyte,TM75A,TM75A,TM75A
Gigabyte,TM75A,TM75A,Voyager
Gigabyte,TM75A-V,TM75A-V,TM75A-V
Gigabyte,W5510,W5510,W5510
Gigabyte,W6360,W6360,W6360
Gigabyte,huangshan_gigabyte,huangshan,SmartTV 4K FFM
Gigabyte,mexico,Lanix,iliumPAD
Gigaset,GS100,GS100,GS100
Gigaset,GS110,GS110,GS110
Gigaset,GS160,GS160,Gigaset GS160
Gigaset,GS170,GS170,Gigaset GS170
Gigaset,GS180,GS180,GS180
Gigaset,GS185,GS185,GS185
Gigaset,GS190,GS190,GS190
Gigaset,GS195,GS195,GS195
Gigaset,GS280,GS280,GS280
Gigaset,GS290,GS290,GS290
Gigaset,GS5,GS5,E940-2796-00
Gigaset,GS5 LITE,GS5_LITE,E940-2878-03
Gigaset,GS5 PRO,GS5_PRO,E940-2796-05
Gigaset,GS5 Senior,GS5_Senior,E940-2878-03S
Gigaset,GS80,GS80,GS80
Gigaset,GX290,GX290,GX290
Gigaset,Gigaset GS170,GS170,Gigaset GS170
Gigaset,Gigaset GS185,GS185,GS185
Gigaset,Gigaset GS270,Gigaset_GS270,GS270
Gigaset,Gigaset GS270 plus,Gigaset_GS270_plus,GS270 plus
Gigaset,Gigaset GS3,GS3,E940-2766-00
Gigaset,Gigaset GS370,GS370,GS370
Gigaset,Gigaset GS370_Plus,GS370_Plus,GS370_Plus
Gigaset,Gigaset GS4,Gigaset_GS4,E940-2795-00
Gigaset,Gigaset GX4,GX4,E940-2797-00
Gigaset,Gigaset GX4 PRO,GX4_PRO,E940-2797-01
Gigaset,Gigaset GX6,GX6,E940-2849-00
Gigaset,Gigaset GX6 PRO,GX6_PRO,E940-2849-01
Gigaset,Gigaset Maxwell 10,maxwell_10,Maxwell-10
Gigaset,ME,ME,GS55-6
Gigaset,ME Pro,MEpro,GS57-6
Gigaset,ME Pure,MEpure,GS53-6
Gigaset,Maxwell 10,maxwell_10,80-1
Gigaset,Maxwell-10,maxwell_10,80-1
Gigaset,Maxwell-10,maxwell_10,Maxwell-10
Gigaset,QV1030,FG6Q,Gigaset QV1030
Gigaset,QV830,UY8,Gigaset QV830
Gigaset,QV831,UY8,Gigaset QV831
Gigaset,SL930,lion_s,SL930
Gini,GINI_Tab_V8,GINI_Tab_V8,GINI_Tab_V8
Gini,Gini n9,Gini_n9,Gini n9
Gini,Gini s5Pro,Gini_s5Pro,s5Pro
Gini,Gini w7,Gini_w7,Gini w7
Gini,N6,N6,N6
Gini,e6_plus,e6,e6
Gini,e6_plus,e6_plus,e6_plus
Gini,n7,n7,n7
Gini,n8,Gini_n8,Gini n8
Gini,s4,s4,s4
Gini,s4_pro,s4_pro,s4_pro
Gini,w5,w5,w5
Gini,w6,w6,w6
Ginzzu,GT-1015,GT-1015,GT-1015
Ginzzu,GT-1045,GT-1045,GT-1045
Ginzzu,GT-1050,GT-1050,Ginzzu GT-1050
Ginzzu,GT-7100,GT-7100,GT-7100
Ginzzu,GT-7115,GT-7115,Ginzzu GT-7115
Ginzzu,GT-7205,GT-7205,GT-7205
Ginzzu,GT-7210,GT-7210,Ginzzu GT-7210
Ginzzu,GT-8105,GT-8105,GT-8105
Ginzzu,GT-8110,GT-8110,Ginzzu GT-8110
Ginzzu,RS8501,RS8501,RS8501
Ginzzu,RS8502,RS8502,RS8502
Ginzzu,RS9602,RS9602,RS9602
Ginzzu,S5002,S5002,S5002
Ginzzu,S5021,S5021,S5021
Ginzzu,S5230,S5230,S5230
Ginzzu,SMART Race 4G,x2605b_fm45_mtc,SMART Race 4G
Gionee,A1,GIONEE_SWW1609,GIONEE A1
Gionee,A1 Lite,GIONEE_SWW1618,A1 lite
Gionee,A1 Plus,GIONEE_SWW1617,A1 Plus
Gionee,A1 lite,GIONEE_SWW1618,A1 lite
Gionee,E8,GiONEE_GN9008,E8
Gionee,E8,GiONEE_GN9008,GN9008
Gionee,F10,F10,GIONEE F10
Gionee,F10 Plus,F10_Plus,GIONEE F10 Plus
Gionee,F100,GIONEE_GBL7358,F100
Gionee,F100A,GIONEE_GBL7358,F100A
Gionee,F100B,GIONEE_GBL7370,F100B
Gionee,F100L,GIONEE_GBL7370,F100L
Gionee,F100S,GIONEE_GBL7370,F100S
Gionee,F103,GiONEE_GBL7319,F103
Gionee,F103 Pro,GIONEE_GBL7360,F103 Pro
Gionee,F103L,GiONEE_GBL7319,F103L
Gionee,F103S,GiONEE_F103S,F103S
Gionee,F105,GiONEE_GBL7335,F105
Gionee,F105L,GiONEE_GBL7335,F105L
Gionee,F106,GIONEE_SWG1613,F106
Gionee,F106L,GIONEE_SW17G03,F106L
Gionee,F109L,GIONEE_SW17G09,GIONEE F109L
Gionee,F109N,GIONEE_SW17G09,GIONEE F109N
Gionee,F11VE,F11VE,GIONEE F11VE
Gionee,F205,GIONEE_SW17G18,GIONEE F205
Gionee,F301,F301,F301
Gionee,F303,F303,F303
Gionee,F5,GIONEE_SWG1608,F5
Gionee,F5L,GIONEE_SWG1608,F5L
Gionee,F6,GIONEE_SW17G15,GIONEE F6
Gionee,F6L,GIONEE_SW17G15,GIONEE F6L
Gionee,F8_Neo,F8_Neo,GIONEE F8 Neo
Gionee,F9,F9,GIONEE F9
Gionee,F9 Plus,F9_Plus,GIONEE F9 Plus
Gionee,ForwardZero,V6L,V6L
Gionee,GIONEE F109,GIONEE_SW17G09,GIONEE F109
Gionee,GIONEE F109L,GIONEE_SW17G09,GIONEE F109L
Gionee,GIONEE F109N,GIONEE_SW17G09,GIONEE F109N
Gionee,GIONEE F11,GIONEE_F11,GIONEE F11
Gionee,GIONEE F205L,GIONEE_SW17G18,GIONEE F205L
Gionee,GIONEE GN5007,GIONEE_BJ17G16,GIONEE GN5007
Gionee,GIONEE GN5007L,GIONEE_BJ17G16,GIONEE GN5007L
Gionee,GIONEE H601,GIONEE_H601,GIONEE S12
Gionee,GIONEE M15,GIONEE_M15,GIONEE M15
Gionee,GIONEE M7L,GIONEE_SW17G07,GIONEE M7L
Gionee,GIONEE MAX,GIONEE_MAX,GIONEE MAX
Gionee,GIONEE MAX Pro,GIONEE_MAX_Pro,GIONEE_MAX Pro
Gionee,GIONEE P15,GIONEE_P15,GIONEE P15
Gionee,GIONEE P15 Pro,P15_Pro,P15 Pro
Gionee,GIONEE X1,GIONEE_SWW1631,GIONEE X1
Gionee,GIONEE_H603,GIONEE_H603,GIONEE M12
Gionee,GIONEE_H603B,GIONEE_H603,GIONEE M12
Gionee,GIONEE_M100,GIONEE_M100,M100
Gionee,GIONEE_M11,GIONEE_M11,M11
Gionee,GIONEE_P12,GIONEE_P12,GIONEE P12
Gionee,GN152,GiONEE_CBL7320,GN152
Gionee,GN3001,GiONEE_GBL7523,GN3001
Gionee,GN3001L,GiONEE_GBL7523,GN3001L
Gionee,GN3002,GIONEE_GBL7356,GN3002
Gionee,GN3002L,GIONEE_GBL7356L,GN3002L
Gionee,GN3003,GIONEE_GBL7359,GN3003
Gionee,GN3003L,GIONEE_GBL7359L,GN3003L
Gionee,GN5001,GiONEE_BBL7332,GN5001
Gionee,GN5001L,GiONEE_BBL7332,GN5001L
Gionee,GN5001S,GiONEE_BBL7332,GN5001S
Gionee,GN5002,GiONEE_GBL7333,GN5002
Gionee,GN5003,GiONEE_BBL7337A,GN5003
Gionee,GN5005,GIONEE_G1605A,GN5005
Gionee,GN5005,GIONEE_G1605A,GN5005L
Gionee,GN8001,GiONEE_BBL7505,GN8001
Gionee,GN8001L,GiONEE_BBL7505,GN8001L
Gionee,GN8003L,GiONEE_BBL7515A,GN8003L
Gionee,GN9000,S5_5,GN9000
Gionee,GN9006,GN9006,GN9006
Gionee,GN9006,GN9006,GiONEE S7
Gionee,GN9007,GiONEE_CBL7503,GN9007
Gionee,GN9010L,GiONEE_CBL7513,GN9010L
Gionee,GN9012,GIONEE_GBL7529,GN9012
Gionee,Gtel_X5pro,Gtel_X5pro,Gtel_X5pro
Gionee,India,F205_Pro,GIONEE F205 Pro
Gionee,M2,M2,M2
Gionee,M2017,GIONEE_GBL8918,M2017
Gionee,M2mini,GiONEE_WBW5612,M2mini
Gionee,M3,GiONEE_M3,M3
Gionee,M3,M3,M3
Gionee,M3S,GiONEE_M3S,M3S
Gionee,M3mini,GiONEE_WBL7315,M3mini
Gionee,M4,GiONEE_M3,M4
Gionee,M5,M5,M5
Gionee,M5 Lite,GiONEE_BBL7332,M5_lite
Gionee,M5 Plus,GiONEE_BBL7505,M5 Plus
Gionee,M5 mini,GiONEE_WBW5616,M5 mini
Gionee,M5L,M5,M5L
Gionee,M6,GiONEE_BBL7515A,GN8003
Gionee,M6,GiONEE_BBL7515A,M6
Gionee,M6 Lite,GIONEE_WBL7361,M6 lite
Gionee,M6 Plus,GIONEE_BBL7516A,GN8002
Gionee,M6 Plus,GIONEE_BBL7516A01,GN8002S
Gionee,M6 mirror,GIONEE_WBL7372,M6 mirror
Gionee,M61,M61,M61
Gionee,M6SLPlus,GIONEE_G1602A,M6SLPlus
Gionee,M6SPlus,GIONEE_G1602A,M6SPlus
Gionee,M7,GIONEE_SW17G07,GIONEE M7
Gionee,M7 Power,GIONEE_BJ17G16,M7 Power
Gionee,M7Plus,GIONEE_BJ17G08A,GIONEE M7Plus
Gionee,P16,P16,P16
Gionee,P2M,GiONEE_WBW5612,P2M
Gionee,P3S,GiONEE_WBW5613,P3S
Gionee,P4,P4,P4
Gionee,P4S,P4S,P4S
Gionee,P5 mini,GiONEE_WBW5617,P5 mini
Gionee,P5L,GiONEE_WBL7352,P5
Gionee,P5L,GiONEE_WBL7352,P5L
Gionee,P5W,GiONEE_WBW5615,P5W
Gionee,P6,P6,P6
Gionee,P61,P61,P61
Gionee,P7,GIONEE_G1605A,GIONEE P7
Gionee,P7,GIONEE_WBL7365,GIONEE P7
Gionee,P7,GIONEE_WBL7365,P7
Gionee,P7 Max,GIONEE_WBL5708,P7 Max
Gionee,P8 Max,GIONEE_WBL7372,P8 Max
Gionee,P8M,GIONEE_SW17W04,P8M
Gionee,P8W,GIONEE_WBW5620,P8W
Gionee,S plus,GiONEE_WBL7511,S_plus
Gionee,S10,GIONEE_SW17G04,GIONEE S10
Gionee,S10 lite,GIONEE_SW17G02,GIONEE S10 lite
Gionee,S10B,GIONEE_SW17G01,GIONEE S10B
Gionee,S10BL,GIONEE_SW17G01,GIONEE S10BL
Gionee,S10C,GIONEE_SW17G02,GIONEE S10C
Gionee,S10CL,GIONEE_SW17G02,GIONEE S10CL
Gionee,S10L,GIONEE_SW17G04,GIONEE S10L
Gionee,S11,GIONEE_SW17G13,GIONEE S11
Gionee,S11 lite,GIONEE_SW17G15,GIONEE S11 lite
Gionee,S11L,GIONEE_SW17G13,GIONEE S11L
Gionee,S12 Lite,S12_Lite,S12 Lite
Gionee,S5.1,GN9005,GN9005
Gionee,S5.1,S5_1,S5.1
Gionee,S5.5,S5_5,S5.5
Gionee,S6,GiONEE_CBL7513,GN9010
Gionee,S6,GiONEE_CBL7513,S6
Gionee,S6 Pro,GIONEE_GBL7529,GN9012
Gionee,S6 Pro,GIONEE_GBL7529,S6 Pro
Gionee,S6Pro,GIONEE_GBL7529,GN9012
Gionee,S6s,GIONEE_WBL7519,S6s
Gionee,S8,GIONEE_WBL7517,GN9011
Gionee,S9,GIONEE_GBL7553,S9
Gionee,S9,GIONEE_GBL7558,S9
Gionee,S_plus,GiONEE_WBL7511,S_plus
Gionee,V4S,V4S,V4S
Gionee,V5,V5,V5
Gionee,W900S,GiONEE_BFL7506A,W900S
Gionee,W909,GiONEE_BFL7512B,W909
Gionee,W919,GIONEE_BJ17G10,GIONEE W919
Gionee,X1,GIONEE_SWW1631,GIONEE X1
Gionee,X1S,GIONEE_SWW1627,X1S
Globe Phoenix,DX768Pro,DX768Pro,DX768Pro
Globe Phoenix,PHPHOENIXONETAB,PHPHOENIXONETAB,PHPHOENIXONETAB
Globe Phoenix,Springboard,CS790Pro,CS790Pro
Globe Streamwatch,SEI530G,SEI530G,SEI530G
Globe Telecom,Globe,SEI120G,SEI-120G
Globe Telecom,SEI-120G,SEI120G,SEI-120G
Glocalme,P3S18,P3S18,P3S18
Glocalme,S20i,S20iQ19,S20iQ19
Glofiish,Gpad_U,Gpad_U,Gpad_U
Go Mobile,G860,G860,G860
Go Mobile,GO Onyx,GO_Onyx_LTE,GO Onyx LTE
Go Mobile,GO Onyx HD,Go_Onyx_HD,Go Onyx HD
Go Mobile,GO Onyx mini,GO_Onyx_mini,GO Onyx mini
Go Mobile,GO SMART,GO_SMART,GO506
Go Mobile,GO1004,GO1004,GO1004
Go Mobile,GO1006,GO1006,GO1006
Go Mobile,GO1008,GO1008,GO1008
Go Mobile,GO1402S,GO1402S,GO1402S
Go Mobile,GO1452,GO1452,GO1452
Go Mobile,GO404,GO404,GO404
Go Mobile,X1,X1,X1
Go Mobile,X2,X2,X2
Go Mobile,X6,GM,X6
GoClever,INSIGNIA 550i,INSIGNIA_550i,INSIGNIA_550i
GoClever,QUANTUM 1010N,QUANTUM_1010N,QUANTUM_1010N
GoClever,QUANTUM 400 LITE,QUANTUM_400_LITE,QUANTUM_400_LITE
GoClever,QUANTUM_3_1010_MOBILE,TQ31010MO,QUANTUM_3_1010_MOBILE
GoClever,QUANTUM_550,QUANTUM_550,QUANTUM_550
GoClever,QUANTUM_700S/QUANTUM 700S,QUANTUM_700S,QUANTUM_700S
GoClever,Quantum 500 STEEL,FQ_500R,Quantum_500_STEEL
GoClever,TQ700/QUANTUM 700/TAB,TQ700,TQ700
Gobox,T2,T2,T2
Gol Mobile,F10,F10,F10
Gol Mobile,F10_PRIME,F10_PRIME,F10_PRIME
Gol Mobile,F11,F11,F11
Gol Mobile,F3Prime,F3Prime,F3Prime
Gol Mobile,F4,F4,F4
Gol Mobile,F9,F9,F9
Gol Mobile,F9Prime,F9prime,F9prime
Gol Mobile,F9_PLUS,F9_PLUS,F9_PLUS
Gol Mobile,TEAM_7_3G,TEAM_7_3G,TEAM_7_3G
Gol Mobile,Team73G,Team73G,Team73G
Gol Mobile,Team_7,Team_7,Team 7.0
Gol Mobile,Team_7_Plus,Team_7_Plus,Team_7_Plus
Goldentec,GT_METAL_TAB10,GT_METAL_TAB10,GT_METAL_TAB10
Goldentec,GT_TAB10,GT_TAB10,GT_TAB10
Goldentec,GT_TAB7,GT_TAB7,GT_TAB7
Goldentec,GT_Tab,GT_Tab,GT_Tab
Goldmaster,BENGAL_6,BENGAL_6,BENGAL_6
Goldmaster,F_4,F_4,F_4
Goldtech,GT10-B16,GT10-B16,GT10-B16
Goldtech,GT7-B16,GT7-B16,GT7-B16
Goldtech,GT_Tab_3G,GT_Tab_3G,GT_Tab_3G
Goldtech,JTTAB035,JTTAB035,JTTAB035
Gome,GOME C7,GOME_C7,GOME_2018X07A
Gome,GOME C7 Note mini,GOME_C7_Note_Mini,GOME_C7_Note
Gome,GOME_C7_Note,GOME_C7_Note,GOME_C7_Note
Gonna,Zebra,Zebra,Zebra
Goo,g08,v12dn,View Prime
Google,AMD Raven Ridge Chromebook,zork_cheets,zork
Google,AMD Stoney Ridge Chromebook,grunt_cheets,grunt
Google,Chromebook 14 (CB3-431),edgar_cheets,Acer Chromebook 14 (CB3-431)
Google,Chromebook 14 (CB3-431),edgar_cheets,Chromebook 14 (CB3-431)
Google,Chromebook Pixel (2015),samus_cheets,Google Chromebook Pixel (2015)
Google,Chromebox,fizz_cheets,Chromebox Reference
Google,Chromebox,fizz_cheets,fizz
Google,Chromebox,puff_cheets,puff
Google,Chromecast Google TV,sabrina,Chromecast
Google,Chromecast Google TV (HD),boreal,Chromecast HD
Google,Emualtor,generic_x86_arm,AOSP on IA Emulator
Google,Emulator,generic_x86,Android SDK built for x86
Google,Emulator,generic_x86_64,Android SDK built for x86_64
Google,Galaxy S4 Google Play edition,jgedlte,GT-I9505G
Google,Google Android Emulator,generic_x86_arm,sdk_gphone_x86
Google,Google Play Games on PC,vsoc_kiwi_x86_64,HPE device
Google,Intel Alder Lake Chromebook,brya_cheets,brya
Google,Intel Amber Lake Y Chromebook,rammus_cheets,rammus
Google,Intel Apollo Lake Chromebook,coral_cheets,coral
Google,Intel Apollo Lake Chromebook,reef_cheets,ASUS Chromebook C213NA
Google,Intel Apollo Lake Chromebook,reef_cheets,Intel Apollo Lake Chromebook
Google,Intel Apollo Lake Chromebook,reef_cheets,reef
Google,Intel Braswell Chromebook,relm_cheets,Braswell Chrome OS Device
